vin,craigslist_id,used_cars_id,year,manufacturer_cr,manufacturer_uc,model_cr,model_uc,price_cr,price_uc,mileage_cr,mileage_uc,warnings,warning_details,label
19UDE2F73HA007339,7314774143,251248750,2017.0,Acura,Acura,Ilx,Ilx,16950,17395.0,40065.0,39238.0,0,,1
19UDE2F76LA004749,7311855539,268660760,2020.0,Acura,Acura,Ilx,Ilx,0,30675.0,4468.0,10.0,0,,1
19UUA66204A018140,7302734414,276884979,2004.0,Acura,Acura,Tl,Tl,4995,6995.0,141132.0,141132.0,0,,1
19UUA66274A064984,7311835576,257204801,2004.0,Acura,Acura,Tl,Tl,4450,4450.0,152880.0,152880.0,0,,1
19UUA76577A021475,7315450048,279097353,2007.0,Acura,Acura,Tl Type S,Tl,0,12988.0,118331.0,118331.0,0,,1
19UUA8F20CA018651,7316394096,277863491,2012.0,Acura,Acura,Tl 3.5L V6,Tl,215,13995.0,81777.0,81743.0,1,"Prezzo molto diverso: CR=$215, UC=$13,995 (diff: $13,780, 98.5%)",1
19UUA8F29CA006515,7314415565,280633117,2012.0,Acura,Acura,Tl,Tl,0,12999.0,149556.0,149556.0,0,,1
19UUA8F59EA007872,7312748396,280444490,2014.0,Acura,Acura,Tl,Tl,13995,13995.0,70587.0,70587.0,0,,1
19UUA96519A000376,7308148445,278661669,2009.0,Acura,Acura,Tl Awd Tech Package V6,Tl,8495,10995.0,133878.0,133878.0,0,,1
19UUA9F55BA000998,7315366482,260012154,2011.0,Acura,Acura,Tl,Tl,0,5995.0,110000.0,110000.0,0,,1
19UUB1F35HA004877,7302668796,272603389,2017.0,Acura,Acura,Tlx,Tlx,0,20995.0,34132.0,34132.0,0,,1
19UUB1F51FA010464,7311824672,281489637,2015.0,Acura,Acura,Tlx,Tlx,15858,18677.0,102122.0,101498.0,0,,1
19UUB1F54GA016227,7311725071,279968495,2016.0,Acura,Acura,Tlx,Tlx,16595,17700.0,104000.0,104000.0,0,,1
19UUB2F51GA002484,7304366782,281449873,2016.0,Acura,Acura,Tlx 3.5L Tech Fwd,Tlx,18550,24995.0,65124.0,,0,,1
19UYA3251XL001324,7316216823,276557614,1999.0,Acura,Acura,Cl,Cl,3500,3850.0,206100.0,206100.0,0,,1
19VDE1F51FE009875,7316569304,276991842,2015.0,Acura,Acura,Ilx,Ilx,0,15900.0,50865.0,50865.0,0,,1
19XFA1F58BE021382,7308935794,281546835,2011.0,Honda,Honda,Civic,Civic,6250,6250.0,163899.0,163899.0,0,,1
19XFB2E5XDE020192,7314471763,274695522,2013.0,Honda,Honda,Civic,Civic,8999,7999.0,158208.0,158208.0,0,,1
19XFB2F50DE004114,7315203802,281532745,2013.0,Honda,Honda,Civic Lx,Civic,6500,8500.0,165000.0,165380.0,0,,1
19XFB2F50FE704878,7316001920,281209301,2015.0,Honda,Honda,Civic,Civic,0,15999.0,48853.0,48853.0,0,,1
19XFB2F52EE047905,7304129914,276667239,2014.0,Honda,Honda,Civic Sedan,Civic,11490,11900.0,78000.0,78000.0,0,,1
19XFB2F52FE252349,7306156568,281206855,2015.0,Honda,Honda,Civic,Civic,8997,10698.0,123712.0,123712.0,0,,1
19XFB2F53CE018362,7306719934,279033044,2012.0,Honda,Honda,Civic,Civic,9499,9799.0,73520.0,73520.0,0,,1
19XFB2F53EE247014,7316368437,276458406,2014.0,Honda,Honda,Civic Sedan Lx,Civic,9995,9995.0,134308.0,134308.0,0,,1
19XFB2F54CE364758,7309535040,275934301,2012.0,Honda,Honda,Civic,Civic,7995,8498.0,111364.0,111319.0,0,,1
19XFB2F55CE091569,7310634384,279211148,2012.0,Honda,Honda,Civic Lx,Civic,8495,8495.0,135607.0,135607.0,0,,1
19XFB2F58CE011648,7308260423,280412930,2012.0,Honda,Honda,Civic,Civic,8900,11900.0,119368.0,119368.0,0,,1
19XFB2F59FE115313,7311244871,275716385,2015.0,Honda,Honda,Civic,Civic,9995,10995.0,85642.0,85642.0,0,,1
19XFB2F90CE335048,7315284848,279357512,2012.0,Honda,Honda,Civic Ex-L Sedan 5-Speed At,Civic,8700,9500.0,113000.0,113000.0,0,,1
19XFC1F33HE214878,7316883895,274190401,2017.0,Honda,Honda,Civic Sedan Ex-T,Civic,17995,17995.0,21924.0,21817.0,0,,1
19XFC1F96LE014283,7311921876,273119466,2020.0,Honda,Honda,Civic Touring Sedan 4D,Civic,26590,28655.0,2024.0,11.0,0,,1
19XFC2F50JE205147,7313036309,279446809,2018.0,Honda,Honda,Civic,Civic,15573,15998.0,29532.0,29532.0,0,,1
19XFC2F51GE062217,7314888092,279063484,2016.0,Honda,Honda,Civic,Civic,10990,10990.0,142169.0,142169.0,0,,1
19XFC2F55HE221564,7308803490,278400340,2017.0,Honda,Honda,Civic,Civic,14995,13895.0,36250.0,35762.0,0,,1
19XFC2F58HE219923,7302014706,278692119,2017.0,Honda,Honda,Civic,Civic,13747,14539.0,52029.0,52029.0,0,,1
19XFC2F67KE203714,7316284148,278923612,2019.0,Honda,Honda,Civic,Civic,19991,18991.0,21333.0,21333.0,0,,1
19XFC2F70HE081795,7314789139,271219816,2017.0,Honda,Honda,Civic,Civic,15939,16995.0,80974.0,78024.0,0,,1
1B3CB4HAXAD586200,7314876300,279807780,2010.0,Dodge,Dodge,Caliber,Caliber,4500,3500.0,167000.0,153767.0,0,,1
1B3CB5HA3BD179312,7303487525,236930044,2011.0,Dodge,Dodge,Caliber,Caliber,6995,6995.0,149854.0,149764.0,0,,1
1B3EJ46X7YN307003,7311835511,277466487,2000.0,Dodge,Dodge,Stratus,Stratus,2990,2990.0,154822.0,154822.0,0,,1
1B3HB48B38D742294,7307631753,281653643,2008.0,Dodge,Dodge,Caliber,Caliber,4200,4200.0,137991.0,137991.0,0,,1
1B7GL22X8XS121305,7311834982,264557716,1999.0,Dodge,Dodge,Dakota,Dakota,3990,3990.0,121305.0,,0,,1
1C3BC1FG8BN526686,7314692212,219411553,2011.0,Chrysler,Chrysler,200,200,5995,5995.0,85078.0,85078.0,0,,1
1C3CCBAB4EN210695,7315163464,278888356,2014.0,Chrysler,Chrysler,200-Series,200,7995,8995.0,89000.0,89000.0,0,,1
1C3CCBABXEN205159,7314942719,258618927,2014.0,Chrysler,Chrysler,200,200,7995,8695.0,89000.0,89000.0,0,,1
1C3CCBBB2DN702073,7312938452,274395941,2013.0,Chrysler,Chrysler,200,200,7995,7595.0,69920.0,69920.0,0,,1
1C3CCBBB3DN721764,7316666986,280568687,2013.0,Chrysler,Chrysler,200,200,6000,6000.0,157398.0,157398.0,0,,1
1C3CCBBG2CN145675,7315049139,256565206,2012.0,Chrysler,Chrysler,200,200,6498,7398.0,74662.0,74662.0,0,,1
1C3CCBCG0DN510192,7311432868,277470136,2013.0,Chrysler,Chrysler,200,200,5975,7975.0,84120.0,84120.0,0,,1
1C3CCBCG9DN570682,7316884477,281647660,2013.0,Chrysler,Chrysler,200,200,11999,10499.0,72605.0,64665.0,0,,1
1C3CCBCGXDN727524,7310964678,278068210,2013.0,Chrysler,Chrysler,200,200,7495,9995.0,97655.0,97655.0,0,,1
1C3CCCAB0FN604072,7311459078,279430839,2015.0,Chrysler,Chrysler,200,200,11823,12823.0,87288.0,87288.0,0,,1
1C3CCCAB6FN647685,7312765436,280769366,2015.0,Chrysler,Chrysler,200,200,10495,10495.0,155950.0,155950.0,0,,1
1C3CCCAB7FN575282,7310387765,281133198,2015.0,Chrysler,Chrysler,200,200,159,9999.0,91994.0,91942.0,1,"Prezzo molto diverso: CR=$159, UC=$9,999 (diff: $9,840, 98.4%)",1
1C3CCCAB7FN631060,7311138800,276640997,2015.0,Chrysler,Chrysler,200 Limited,200,9999,11900.0,82474.0,82474.0,0,,1
1C3CCCCG2FN541145,7314472435,281450342,2015.0,Chrysler,Chrysler,200,200,14000,14699.0,64239.0,61030.0,0,,1
1C3CDFAA1FD237940,7312882002,258770270,2015.0,Dodge,Dodge,Dart,Dart,8999,8999.0,57593.0,57593.0,0,,1
1C3CDFAA3GD504531,7310722022,260958408,2016.0,Dodge,Dodge,Dart,Dart,9995,8995.0,87000.0,87000.0,0,,1
1C3CDFAA6GD533408,7314419664,275383949,2016.0,Dodge,Dodge,Dart,Dart,8995,8995.0,128595.0,128595.0,0,,1
1C3CDFAH7DD215788,7313522118,276864398,2013.0,Dodge,Dodge,Dart,Dart,6995,8995.0,70833.0,70833.0,0,,1
1C3CDFBA6DD106109,7315945380,261569323,2013.0,Dodge,Dodge,Dart Sxt,Dart,0,7999.0,111837.0,111837.0,0,,1
1C3CDFBB1FD363335,7315029174,281073671,2015.0,Dodge,Dodge,Dart,Dart,7999,7995.0,102335.0,102335.0,0,,1
1C3CDFBB7FD128583,7311039105,262321389,2015.0,Dodge,Dodge,Dart Sxt,Dart,9495,8995.0,71392.0,71392.0,0,,1
1C3CDFCA0DD185873,7307103141,280847373,2013.0,Dodge,Dodge,Dart,Dart,8995,7995.0,157724.0,157724.0,0,,1
1C3CDZAB1EN188452,7316120994,276464560,2014.0,Dodge,Dodge,Avenger,Avenger,7995,9995.0,95106.0,95106.0,0,,1
1C3CDZAB2CN286337,7316737788,279786364,2012.0,Dodge,Dodge,Avenger Se,Avenger,6900,7500.0,97173.0,97173.0,0,,1
1C3CDZAB6CN324166,7313926270,281518388,2012.0,Dodge,Dodge,Avenger,Avenger,4490,4490.0,142847.0,142847.0,0,,1
1C3CDZCB0DN519887,7314248979,272968721,2013.0,Dodge,Dodge,Avenger,Avenger,11984,8313.0,87321.0,82513.0,0,,1
1C3LC66M37N630162,7314808928,279331985,2007.0,Chrysler,Chrysler,Sebring,Sebring,3995,3995.0,199694.0,195707.0,0,,1
1C4AJWAG1DL647947,7308611048,279588037,2013.0,Jeep,Jeep,Wrangler,Wrangler,15995,14995.0,59767.0,58633.0,0,,1
1C4AJWAG2CL208108,7309631144,280443494,2012.0,Jeep,Jeep,Wrangler Sport 4X4,Wrangler,17900,19900.0,122289.0,121746.0,0,,1
1C4AJWAG3EL246059,7316972240,273825397,2014.0,Jeep,Jeep,Wrangler,Wrangler,21995,19994.0,110676.0,118196.0,0,,1
1C4AJWAG4CL139468,7302781181,279617365,2012.0,Jeep,Jeep,Wrangler Sport 4X4,Wrangler,25900,28900.0,19995.0,19883.0,0,,1
1C4AJWAG5EL105526,7316972172,279034439,2014.0,Jeep,Jeep,Wrangler,Wrangler,22995,21995.0,72191.0,72191.0,0,,1
1C4AJWAG7DL609669,7310049129,280269686,2013.0,Jeep,Jeep,Wrangler Sport *Fr $499 Down Guaranteed Finance,Wrangler,0,19995.0,,63456.0,0,,1
1C4AJWAG9FL700977,7312741363,276881119,2015.0,Jeep,Jeep,Wrangler,Wrangler,23999,24995.0,62542.0,62542.0,0,,1
1C4AJWBG7CL146820,7311377024,277647560,2012.0,Jeep,Jeep,Wrangler,Wrangler,21995,24995.0,102278.0,102278.0,0,,1
1C4AJWBG7DL580575,7307444190,279720031,2013.0,Jeep,Jeep,Wrangler Moab,Wrangler,26900,26290.0,73277.0,73206.0,0,,1
1C4BJWCGXDL641730,7312021433,281857772,2013.0,Jeep,Jeep,Wrangler,Wrangler,32777,33997.0,83534.0,83534.0,0,,1
1C4BJWDG0DL608654,7316430933,277361017,2013.0,Jeep,Jeep,Wrangler Unlimited Sport Manual,Wrangler Unlimited,32991,33900.0,49797.0,47749.0,0,,1
1C4BJWDG1EL267251,7316972160,272942142,2014.0,Jeep,Jeep,Wrangler,Wrangler Unlimited,58995,58995.0,20073.0,20073.0,0,,1
1C4BJWDG4GL178261,7303219793,279215969,2016.0,Jeep,Jeep,Wrangler Unlimi,Wrangler Unlimited,21995,28995.0,141755.0,141755.0,0,,1
1C4BJWDG6EL264331,7307723483,281375012,2014.0,Jeep,Jeep,Wrangler Unlimited,Wrangler Unlimited,24800,27928.0,89610.0,89439.0,0,,1
1C4BJWDG7EL287701,7315931431,277507848,2014.0,Jeep,Jeep,Wrangler Unlimited Unlimited Sport Manual,Wrangler Unlimited,26999,24990.0,0.0,100713.0,0,,1
1C4BJWDG8GL206191,7314599149,276185973,2016.0,Jeep,Jeep,Wrangler,Wrangler Unlimited,29998,29998.0,60240.0,60240.0,0,,1
1C4BJWDG9JL867915,7312973692,278884915,2018.0,Jeep,Jeep,Wrangler Jk,Wrangler Unlimited,0,34970.0,72285.0,75209.0,0,,1
1C4BJWEG0DL647999,7311964508,280804060,2013.0,Jeep,Jeep,Wrangler,Wrangler Unlimited,28999,28777.0,150710.0,150710.0,0,,1
1C4BJWEG1FL755020,7311495929,273869655,2015.0,Jeep,Jeep,Wrangler Sahara,Wrangler Unlimited,29999,35999.0,56881.0,56881.0,0,,1
1C4BJWEG2DL552330,7315094000,281788975,2013.0,Jeep,Jeep,Wrangler Unlimited Sahara,Wrangler Unlimited,24995,25888.0,105022.0,102976.0,0,,1
1C4BJWEG2FL629054,7310169373,280686257,2015.0,Jeep,Jeep,Wrangler Unlimited Sahara,Wrangler Unlimited,36993,36999.0,9000.0,9561.0,0,,1
1C4BJWEG3CL239625,7316247815,281619807,2012.0,Jeep,Jeep,Wrangler,Wrangler Unlimited,351,23995.0,110821.0,110821.0,1,"Prezzo molto diverso: CR=$351, UC=$23,995 (diff: $23,644, 98.5%)",1
1C4BJWEG5JL874195,7309166638,277672425,2018.0,Jeep,Jeep,Wrangler,Wrangler Unlimited,35934,34947.0,41208.0,41208.0,0,,1
1C4BJWEG9GL212855,7316288392,280219655,2016.0,Jeep,Jeep,Wrangler Unlimited Sahara,Wrangler Unlimited,49720,36900.0,42877.0,42695.0,0,,1
1C4BJWEG9GL298197,7316109155,281126368,2016.0,Jeep,Jeep,Wrangler,Wrangler Unlimited,0,32888.0,29902.0,28585.0,0,,1
1C4BJWFG1DL639022,7302023127,255436389,2013.0,Jeep,Jeep,Wrangler Unlimited,Wrangler Unlimited,0,22995.0,77885.0,77700.0,0,,1
1C4BJWFG1GL158627,7304691728,280892529,2016.0,Jeep,Jeep,Wrangler Unlimited,Wrangler Unlimited,35995,37380.0,81146.0,77262.0,0,,1
1C4BJWFG4GL299580,7316855415,276919383,2016.0,Jeep,Jeep,Wrangler Unlimited Rubicon,Wrangler Unlimited,0,37999.0,41227.0,37986.0,0,,1
1C4BJWFG7EL262911,7316960251,276792941,2014.0,Jeep,Jeep,Wrangler,Wrangler Unlimited,35999,29884.0,71000.0,70139.0,0,,1
1C4GJWAG0FL533029,7316972156,278739525,2015.0,Jeep,Jeep,Wrangler,Wrangler,20995,20995.0,130974.0,130974.0,0,,1
1C4GJXAN6LW237981,7316883494,269655693,2020.0,Jeep,Jeep,Wrangler,Wrangler,38974,35592.0,2239.0,10.0,0,,1
1C4HJWDG0JL930877,7309524868,280840338,2018.0,Jeep,Jeep,Wrangler Jk Unlimited,Wrangler Unlimited,34800,35800.0,27558.0,27558.0,0,,1
1C4HJWDG5FL676039,7311456157,279130618,2015.0,Jeep,Jeep,Wrangler Unlimi,Wrangler Unlimited,25888,26999.0,61058.0,61895.0,0,,1
1C4HJWDG8GL273108,7306922574,278058577,2016.0,Jeep,Jeep,Wrangler,Wrangler Unlimited,0,35995.0,50083.0,50083.0,0,,1
1C4HJWEG1GL163144,7309410253,279965661,2016.0,Jeep,Jeep,Wrangler Unlimited,Wrangler Unlimited,434,33991.0,41809.0,41608.0,1,"Prezzo molto diverso: CR=$434, UC=$33,991 (diff: $33,557, 98.7%)",1
1C4HJWEG3JL928202,7314823486,218677561,2018.0,Jeep,Jeep,Wrangler Jk,Wrangler Unlimited,28995,30998.0,42000.0,33150.0,0,,1
1C4HJWEG3JL929558,7311442480,280707676,2018.0,Jeep,Jeep,Wrangler Unlimited Sahara,Wrangler Unlimited,38990,36000.0,28789.0,28698.0,0,,1
1C4HJXAN9KW620820,7306112203,279011959,2019.0,Jeep,Jeep,Wrangler,Wrangler,35900,36836.0,10313.0,10313.0,0,,1
1C4HJXCN9LW221579,7316166488,278509491,2020.0,Jeep,Jeep,Wrangler Rubicon,Wrangler,46000,41538.0,13121.0,11540.0,0,,1
1C4HJXDG8JW169343,7311246222,280888556,2018.0,Jeep,Jeep,Wrangler Unlimited Sport,Wrangler Unlimited,37796,32895.0,39595.0,37096.0,0,,1
1C4HJXDM1LW338479,7304061694,276600137,2020.0,Jeep,Jeep,Wrangler Unlimited Sport,Wrangler Unlimited,43590,40084.0,9454.0,0.0,0,,1
1C4HJXDN4LW204140,7315720593,280412213,2020.0,Jeep,Jeep,Wrangler Unlimited,Wrangler Unlimited,45167,43788.0,3831.0,2851.0,0,,1
1C4HJXEG1JW231793,7307672046,281892615,2018.0,Jeep,Jeep,Wrangler Unlimited Sahara,Wrangler Unlimited,451,44995.0,36920.0,36920.0,1,"Prezzo molto diverso: CR=$451, UC=$44,995 (diff: $44,544, 99.0%)",1
1C4HJXEG7LW333568,7313985446,279398080,2020.0,Jeep,Jeep,Wrangler Unlimited Sahara,Wrangler Unlimited,43999,46973.0,6000.0,0.0,0,,1
1C4HJXEN4MW531167,7315097051,281502147,2021.0,Jeep,Jeep,Wrangler Unlimited,Wrangler Unlimited,19950,46720.0,2297.0,1.0,1,"Prezzo molto diverso: CR=$19,950, UC=$46,720 (diff: $26,770, 57.3%)",1
1C4HJXEN8KW623251,7309256616,281339815,2019.0,Jeep,Jeep,Wrangler Unlimited,Wrangler Unlimited,42995,42995.0,23648.0,23357.0,0,,1
1C4NJDEB4HD175649,7313605145,276494211,2017.0,Jeep,Jeep,Compass Latitude 4X4 *Ltd Avail*,Compass,12117,13500.0,97150.0,97150.0,0,,1
1C4NJDEB6GD764300,7316971682,278030265,2016.0,Jeep,Jeep,Compass,Compass,11995,11995.0,91845.0,91845.0,0,,1
1C4NJDEB7CD568389,7314743603,281382355,2012.0,Jeep,Jeep,Compass 4X4 Latitude,Compass,7895,7995.0,103.0,105300.0,1,"Mileage molto diverso: CR=103, UC=105,300 (diff: 105,197, 99.9%)",1
1C4NJDEB8CD715609,7312715307,274712360,2012.0,Jeep,Jeep,Compass Latitude 4X4,Compass,7895,7995.0,103.0,103000.0,1,"Mileage molto diverso: CR=103, UC=103,000 (diff: 102,897, 99.9%)",1
1C4NJPBA0DD235062,7314505706,278116752,2013.0,Jeep,Jeep,Patriot,Patriot,7575,7695.0,94624.0,94624.0,0,,1
1C4NJPBAXFD149325,7309924108,268601117,2015.0,Jeep,Jeep,Patriot,Patriot,7790,7790.0,110443.0,110443.0,0,,1
1C4NJPBB1GD748737,7316853056,258618882,2016.0,Jeep,Jeep,Patriot,Patriot,12995,11995.0,66000.0,66000.0,0,,1
1C4NJPBB3ED827601,7310722049,267341923,2014.0,Jeep,Jeep,Patriot,Patriot,9995,8995.0,97000.0,97000.0,0,,1
1C4NJPFA8FD192507,7310831379,281340347,2015.0,Jeep,Jeep,Patriot High Altitude Editi,Patriot,0,12995.0,86866.0,86866.0,0,,1
1C4NJPFB2FD185951,7311490678,258618932,2015.0,Jeep,Jeep,Patriot,Patriot,16995,13995.0,18000.0,18000.0,0,,1
1C4NJRBB1HD164304,7315293197,271264445,2017.0,Jeep,Jeep,Patriot,Patriot,10998,9200.0,125277.0,125098.0,0,,1
1C4NJRFB0ED510669,7302835684,277268299,2014.0,Jeep,Jeep,Patriot,Patriot,10500,9899.0,95610.0,95610.0,0,,1
1C4NJRFB0FD347457,7307880135,278622567,2015.0,Jeep,Jeep,Patriot,Patriot,9995,10500.0,111720.0,111720.0,0,,1
1C4NJRFB0GD523344,7316716722,275142935,2016.0,Jeep,Jeep,Patriot High Altitude 4X4,Patriot,13990,11442.0,103372.0,103564.0,0,,1
1C4NJRFB1FD106345,7314505730,278464403,2015.0,Jeep,Jeep,Patriot,Patriot,11295,8399.0,108396.0,108200.0,0,,1
1C4NJRFB5GD637260,7315243385,281655622,2016.0,Jeep,Jeep,Patriot,Patriot,14674,12995.0,83962.0,83962.0,0,,1
1C4NJRFBXDD253468,7309400626,263233503,2013.0,Jeep,Jeep,Patriot Latitude,Patriot,8950,8950.0,102938.0,102938.0,0,,1
1C4NJRFBXGD518295,7309486534,265261424,2016.0,Jeep,Jeep,Patriot,Patriot,0,12971.0,83032.0,83032.0,0,,1
1C4PJLCB7EW249166,7313141834,281606508,2014.0,Jeep,Jeep,Cherokee Latitude,Cherokee,12995,13995.0,64780.0,64780.0,0,,1
1C4PJLDS8FW585568,7311275209,281008722,2015.0,Jeep,Jeep,Cherokee,Cherokee,11995,12995.0,73978.0,73978.0,0,,1
1C4PJLLB7LD500695,7315068200,280702640,2020.0,Jeep,Jeep,Cherokee,Cherokee,0,24276.0,4949.0,4808.0,0,,1
1C4PJLLB8KD443874,7315411893,275845953,2019.0,Jeep,Jeep,Cherokee,Cherokee,26867,25997.0,13255.0,10039.0,0,,1
1C4PJMAB5EW125454,7308014947,263577697,2014.0,Jeep,Jeep,Cherokee,Cherokee,14980,14999.0,74408.0,71838.0,0,,1
1C4PJMABXGW191100,7315116442,278654313,2016.0,Jeep,Jeep,Cherokee,Cherokee,13900,15900.0,78745.0,78745.0,0,,1
1C4PJMAK1CW110804,7316757438,280633304,2012.0,Jeep,Jeep,Liberty,Liberty,6200,6200.0,149604.0,149604.0,0,,1
1C4PJMAK7CW139529,7315404734,281523234,2012.0,Jeep,Jeep,Liberty,Liberty,12999,11994.0,80277.0,76310.0,0,,1
1C4PJMBB7HW636635,7315474938,279087158,2017.0,Jeep,Jeep,Cherokee,Cherokee,23500,26995.0,30358.0,30358.0,0,,1
1C4PJMBS3GW155277,7316515219,279399904,2016.0,Jeep,Jeep,Cherokee Trailhawk Sport,Cherokee,17995,19999.0,106245.0,105356.0,0,,1
1C4PJMBX4KD362261,7311150092,274050958,2019.0,Jeep,Jeep,Cherokee,Cherokee,0,23886.0,46100.0,45345.0,0,,1
1C4PJMCB2EW200642,7316925232,280851649,2014.0,Jeep,Jeep,Cherokee,Cherokee,10995,10995.0,129995.0,129995.0,0,,1
1C4PJMCB8FW714996,7311800790,280108390,2015.0,Jeep,Jeep,Cherokee,Cherokee,15000,15900.0,60382.0,59745.0,0,,1
1C4PJMCB9GW130558,7314933793,278451836,2016.0,Jeep,Jeep,Cherokee,Cherokee,14500,13999.0,105954.0,102498.0,0,,1
1C4PJMCK8CW152500,7314070728,278698789,2012.0,Jeep,Jeep,Liberty Limited,Liberty,9499,9499.0,135531.0,135531.0,0,,1
1C4PJMCS5GW104121,7302154257,274353300,2016.0,Jeep,Jeep,Cherokee Latitude,Cherokee,18995,15989.0,48456.0,47902.0,0,,1
1C4PJMCS8FW636381,7314818763,279986646,2015.0,Jeep,Jeep,Cherokee,Cherokee,14487,14659.0,101088.0,101088.0,0,,1
1C4PJMDN1KD123732,7315226211,275416502,2019.0,Jeep,Jeep,Cherokee,Cherokee,22949,24499.0,49950.0,46540.0,0,,1
1C4PJMDS7EW146687,7310714815,280834656,2014.0,Jeep,Jeep,Cherokee,Cherokee,11991,11991.0,172690.0,172690.0,0,,1
1C4PJMDS8FW682596,7315365785,263674919,2015.0,Jeep,Jeep,Cherokee,Cherokee,16608,18543.0,67374.0,67374.0,0,,1
1C4PJMJS9HW552334,7309187707,270526109,2017.0,Jeep,Jeep,Cherokee,Cherokee,27988,28288.0,24571.0,24571.0,0,,1
1C4PJMLB0KD367217,7310911979,233851370,2019.0,Jeep,Jeep,Cherokee,Cherokee,24148,30472.0,21784.0,14793.0,0,,1
1C4PJMLB8LD616977,7304252102,268610363,2020.0,Jeep,Jeep,Cherokee,Cherokee,27704,29224.0,16.0,15.0,0,,1
1C4PJMLN0KD156769,7316270197,279940713,2019.0,Jeep,Jeep,Cherokee,Cherokee,298,27375.0,19130.0,13158.0,1,"Prezzo molto diverso: CR=$298, UC=$27,375 (diff: $27,077, 98.9%)",1
1C4PJMLN8KD161640,7316696392,278204804,2019.0,Jeep,Jeep,Cherokee,Cherokee,24462,22808.0,30354.0,30233.0,0,,1
1C4RDHDG2LC116319,7304111628,272950678,2020.0,Dodge,Dodge,Durango,Durango,30204,33595.0,13633.0,13447.0,0,,1
1C4RDJAG2DC584631,7315503639,248841363,2013.0,Dodge,Dodge,Durango,Durango,15045,9950.0,115458.0,115014.0,0,,1
1C4RDJAG4FC851044,7316975429,277264042,2015.0,Dodge,Dodge,Durango,Durango,19995,16000.0,94297.0,87237.0,0,,1
1C4RDJAG5KC677026,7303598081,274157157,2019.0,Dodge,Dodge,Durango,Durango,33998,29987.0,11039.0,10749.0,0,,1
1C4RDJAG9DC575554,7314074781,279422733,2013.0,Dodge,Dodge,Durango,Durango,0,14980.0,83606.0,76664.0,0,,1
1C4RDJAG9DC580026,7314733756,280769371,2013.0,Dodge,Dodge,Durango,Durango,14995,13995.0,144886.0,144781.0,0,,1
1C4RDJDG7KC744141,7313799617,277567933,2019.0,Dodge,Dodge,Durango,Durango,35562,32841.0,30451.0,26618.0,0,,1
