vin,craigslist_id,used_cars_id
19UDE2F73HA007339,7314774143,251248750
19UDE2F76LA004749,7311855539,268660760
19UUA66204A018140,7302734414,276884979
19UUA66274A064984,7311835576,257204801
19UUA76577A021475,7315450048,279097353
19UUA8F20CA018651,7316394096,277863491
19UUA8F29CA006515,7314415565,280633117
19UUA8F59EA007872,7312748396,280444490
19UUA96519A000376,7308148445,278661669
19UUA9F55BA000998,7315366482,260012154
19UUB1F35HA004877,7302668796,272603389
19UUB1F51FA010464,7311824672,281489637
19UUB1F54GA016227,7311725071,279968495
19UUB2F51GA002484,7304366782,281449873
19UYA3251XL001324,7316216823,276557614
19VDE1F51FE009875,7316569304,276991842
19XFA1F58BE021382,7308935794,281546835
19XFB2E5XDE020192,7314471763,274695522
19XFB2F50DE004114,7315203802,281532745
19XFB2F50FE704878,7316001920,281209301
19XFB2F52EE047905,7304129914,276667239
19XFB2F52FE252349,7306156568,281206855
19XFB2F53CE018362,7306719934,279033044
19XFB2F53EE247014,7316368437,276458406
19XFB2F54CE364758,7309535040,275934301
19XFB2F55CE091569,7310634384,279211148
19XFB2F58CE011648,7308260423,280412930
19XFB2F59FE115313,7311244871,275716385
19XFB2F90CE335048,7315284848,279357512
19XFC1F33HE214878,7316883895,274190401
19XFC1F96LE014283,7311921876,273119466
19XFC2F50JE205147,7313036309,279446809
19XFC2F51GE062217,7314888092,279063484
19XFC2F55HE221564,7308803490,278400340
19XFC2F58HE219923,7302014706,278692119
19XFC2F67KE203714,7316284148,278923612
19XFC2F70HE081795,7314789139,271219816
1B3CB4HAXAD586200,7314876300,279807780
1B3CB5HA3BD179312,7303487525,236930044
1B3EJ46X7YN307003,7311835511,277466487
1B3HB48B38D742294,7307631753,281653643
1B7GL22X8XS121305,7311834982,264557716
1C3BC1FG8BN526686,7314692212,219411553
1C3CCBAB4EN210695,7315163464,278888356
1C3CCBABXEN205159,7314942719,258618927
1C3CCBBB2DN702073,7312938452,274395941
1C3CCBBB3DN721764,7316666986,280568687
1C3CCBBG2CN145675,7315049139,256565206
1C3CCBCG0DN510192,7311432868,277470136
1C3CCBCG9DN570682,7316884477,281647660
1C3CCBCGXDN727524,7310964678,278068210
1C3CCCAB0FN604072,7311459078,279430839
1C3CCCAB6FN647685,7312765436,280769366
1C3CCCAB7FN575282,7310387765,281133198
1C3CCCAB7FN631060,7311138800,276640997
1C3CCCCG2FN541145,7314472435,281450342
1C3CDFAA1FD237940,7312882002,258770270
1C3CDFAA3GD504531,7310722022,260958408
1C3CDFAA6GD533408,7314419664,275383949
1C3CDFAH7DD215788,7313522118,276864398
1C3CDFBA6DD106109,7315945380,261569323
1C3CDFBB1FD363335,7315029174,281073671
1C3CDFBB7FD128583,7311039105,262321389
1C3CDFCA0DD185873,7307103141,280847373
1C3CDZAB1EN188452,7316120994,276464560
1C3CDZAB2CN286337,7316737788,279786364
1C3CDZAB6CN324166,7313926270,281518388
1C3CDZCB0DN519887,7314248979,272968721
1C3LC66M37N630162,7314808928,279331985
1C4AJWAG1DL647947,7308611048,279588037
1C4AJWAG2CL208108,7309631144,280443494
1C4AJWAG3EL246059,7316972240,273825397
1C4AJWAG4CL139468,7302781181,279617365
1C4AJWAG5EL105526,7316972172,279034439
1C4AJWAG7DL609669,7310049129,280269686
1C4AJWAG9FL700977,7312741363,276881119
1C4AJWBG7CL146820,7311377024,277647560
1C4AJWBG7DL580575,7307444190,279720031
1C4BJWCGXDL641730,7312021433,281857772
1C4BJWDG0DL608654,7316430933,277361017
1C4BJWDG1EL267251,7316972160,272942142
1C4BJWDG4GL178261,7303219793,279215969
1C4BJWDG6EL264331,7307723483,281375012
1C4BJWDG7EL287701,7315931431,277507848
1C4BJWDG8GL206191,7314599149,276185973
1C4BJWDG9JL867915,7312973692,278884915
1C4BJWEG0DL647999,7311964508,280804060
1C4BJWEG1FL755020,7311495929,273869655
1C4BJWEG2DL552330,7315094000,281788975
1C4BJWEG2FL629054,7310169373,280686257
1C4BJWEG3CL239625,7316247815,281619807
1C4BJWEG5JL874195,7309166638,277672425
1C4BJWEG9GL212855,7316288392,280219655
1C4BJWEG9GL298197,7316109155,281126368
1C4BJWFG1DL639022,7302023127,255436389
1C4BJWFG1GL158627,7304691728,280892529
1C4BJWFG4GL299580,7316855415,276919383
1C4BJWFG7EL262911,7316960251,276792941
1C4GJWAG0FL533029,7316972156,278739525
1C4GJXAN6LW237981,7316883494,269655693
1C4HJWDG0JL930877,7309524868,280840338
1C4HJWDG5FL676039,7311456157,279130618
1C4HJWDG8GL273108,7306922574,278058577
1C4HJWEG1GL163144,7309410253,279965661
1C4HJWEG3JL928202,7314823486,218677561
1C4HJWEG3JL929558,7311442480,280707676
1C4HJXAN9KW620820,7306112203,279011959
1C4HJXCN9LW221579,7316166488,278509491
1C4HJXDG8JW169343,7311246222,280888556
1C4HJXDM1LW338479,7304061694,276600137
1C4HJXDN4LW204140,7315720593,280412213
1C4HJXEG1JW231793,7307672046,281892615
1C4HJXEG7LW333568,7313985446,279398080
1C4HJXEN4MW531167,7315097051,281502147
1C4HJXEN8KW623251,7309256616,281339815
1C4NJDEB4HD175649,7313605145,276494211
1C4NJDEB6GD764300,7316971682,278030265
1C4NJDEB7CD568389,7314743603,281382355
1C4NJDEB8CD715609,7312715307,274712360
1C4NJPBA0DD235062,7314505706,278116752
1C4NJPBAXFD149325,7309924108,268601117
1C4NJPBB1GD748737,7316853056,258618882
1C4NJPBB3ED827601,7310722049,267341923
1C4NJPFA8FD192507,7310831379,281340347
1C4NJPFB2FD185951,7311490678,258618932
1C4NJRBB1HD164304,7315293197,271264445
1C4NJRFB0ED510669,7302835684,277268299
1C4NJRFB0FD347457,7307880135,278622567
1C4NJRFB0GD523344,7316716722,275142935
