vin,craigslist_id,used_cars_id,year,manufacturer_cr,manufacturer_uc,model_cr,model_uc,price_cr,price_uc,mileage_cr,mileage_uc,warnings,warning_details,label
,7316716231,267497466,,Chevrolet,Chevrolet,Colorado Z71 4X4 Gas,Cruze,39999,19990.0,13303.0,4.0,,,0
,7307279962,272550118,,Chevrolet,Mazda,Suburban,Mazda6,23999,33590.0,200754.0,3.0,,,0
,7315558814,270129081,,Ford,Dodge,Explorer,Journey,0,17888.0,5507.0,12.0,,,0
,7313970866,280500843,,Jeep,Gmc,Wrangler,Acadia,19999,49890.0,81879.0,3.0,,,0
1GKKVTKD9GJ213162,7315273480,271887498,2016.0,Gmc,Gmc,Acadia,Acadia,29999,27499.0,38264.0,38264.0,0,,1
,7315276132,278572981,,Toyota,Toyota,Avalon Limited Sedan 4D,Corolla Hybrid,37590,25183.0,3939.0,3.0,,,0
,7313833166,280755945,,Toyota,Honda,Rav4 Limited,Cr-V,12700,18744.0,107370.0,63775.0,,,0
,7313648310,268345554,,Lexus,Ford,Gs 350 F Sport Awd,Transit Connect,22990,29560.0,82550.0,0.0,,,0
,7315805319,261115715,,Jeep,Chevrolet,Liberty,Suburban,7495,55995.0,102315.0,,,,0
,7313434041,276301107,,Chevrolet,Ram,Silverado 3500Hd,2500,0,62091.0,62962.0,,,,0
,7316907329,280835217,,Audi,Bmw,Q5 Premium Sport Utility 4D,X5,28590,9900.0,45474.0,136966.0,,,0
,7308389130,279096240,,Ram,Ford,2500,Mustang Shelby Gt350,26995,49000.0,115000.0,12900.0,,,0
,7316941335,269996698,,Toyota,Chevrolet,Highlander Xle Sport,Trax,34990,18871.0,27337.0,3.0,,,0
KNMAT2MV1FP550840,7316313632,272210932,2015.0,Nissan,Nissan,Rogue S,Rogue,11988,13988.0,60974.0,60974.0,0,,1
,7315609690,280671262,,Hyundai,Hyundai,Elantra,Palisade,14999,48370.0,54118.0,,,,0
1N6AD0ER9KN709982,7316490303,281515147,2019.0,Nissan,Nissan,Frontier Crew Cab,Frontier,24999,24999.0,5792.0,5792.0,0,,1
,7302113443,279026268,,Dodge,Chevrolet,Journey Crossroad,Traverse,18700,39971.0,33920.0,5.0,,,0
JM1BL1MP1D1825722,7302946908,280636121,2013.0,Mazda,Mazda,Mazda3 I Grand Touring,Mazda3,8999,9999.0,99661.0,99661.0,0,,1
,7316546842,279893669,,Subaru,Toyota,Legacy L 4Dr Wagon,Prius,5991,14500.0,168882.0,48620.0,,,0
,7316502536,277757306,,Ford,Lexus,F350 Diesel Power Stroke,Ls,0,84750.0,79338.0,0.0,,,0
,7311426286,246543264,,Volkswagen,Ram,Jetta,1500,18999,44760.0,10871.0,0.0,,,0
,7303329410,275549064,,Ram,Kia,3500,Sportage,32995,18794.0,137499.0,32779.0,,,0
,7312858306,281381942,,Honda,Jeep,Civic,Grand Cherokee,2750,19988.0,155536.0,144681.0,,,0
,7315592829,280008270,,Honda,Chevrolet,Accord Sport Se,Malibu,20990,25974.0,32381.0,5.0,,,0
1G11B5SA8DF141573,7316251679,251669854,2013.0,Chevrolet,Chevrolet,Malibu Ls,Malibu,5990,5990.0,143064.0,143064.0,0,,1
